, Florida Marlins, 5, @,  New York Mets, 2,     Boxscore,
,LA Angels of Anaheim, 6, @,  Oakland Athletics, 7,     Boxscore,
,Atlanta Braves, 1, @,  Philadelphia Phillies, 2,     Boxscore,
, Chicago Cubs, 4, @,  Pittsburgh Pirates, 2,     Boxscore,
,Toronto Blue Jays, 5, @,  Texas Rangers, 6,     Boxscore,
,Arizona D'Backs, 3, @,  Washington Nationals, 7,     Boxscore,
,Seattle Mariners, 1, @,  LA Angels of Anaheim, 6,     Boxscore,
, Detroit Tigers, 13, @,  Baltimore Orioles, 3,     Boxscore,
,Toronto Blue Jays, 7, @,  Boston Red Sox, 12,     Boxscore,
,Minnesota Twins, 4, @,  Chicago White Sox, 5,     Boxscore,
,Chicago Cubs, 6, @,  Cincinnati Reds, 7,     Boxscore,
, Arizona D'Backs, 5, @,  Colorado Rockies, 3,     Boxscore,
, Atlanta Braves, 1, @,  Houston Astros, 0,     Boxscore,
, Cleveland Indians, 5, @,  Kansas City Royals, 1,     Boxscore,
, Los Angeles Dodgers, 7, @,  Milwaukee Brewers, 3,     Boxscore,
,Tampa Bay Devil Rays, 8, @,  New York Yankees, 19,     Boxscore,
,New York Mets, 4, @,  Philadelphia Phillies, 5,     Boxscore,
, St. Louis Cardinals, 11, @,  Pittsburgh Pirates, 1,     Boxscore,
,San Francisco Giants, 2, @,  San Diego Padres, 7,     Boxscore,
, Oakland Athletics, 8, @,  Texas Rangers, 5,     Boxscore,
, Florida Marlins, 9, @,  Washington Nationals, 4,     Boxscore,
, Seattle Mariners, 5, @,  LA Angels of Anaheim, 3,     Boxscore,
,Detroit Tigers, 4, @,  Baltimore Orioles, 8,     Boxscore,
, Toronto Blue Jays, 4, @,  Boston Red Sox, 3,     Boxscore,
,Minnesota Twins, 1, @,  Chicago White Sox, 3,     Boxscore,
, Chicago Cubs, 7, @,  Cincinnati Reds, 1,     Boxscore,
,Arizona D'Backs, 1, @,  Colorado Rockies, 8,     Boxscore,
,Atlanta Braves, 3, @,  Houston Astros, 5,     Boxscore,
,Cleveland Indians, 5, @,  Kansas City Royals, 6,     Boxscore,
, Los Angeles Dodgers, 8, @,  Milwaukee Brewers, 6,     Boxscore,
, Tampa Bay Devil Rays, 6, @,  New York Yankees, 2,     Boxscore,
, New York Mets, 16, @,  Philadelphia Phillies, 4,     Boxscore,
, St. Louis Cardinals, 7, @,  Pittsburgh Pirates, 1,     Boxscore,
,San Francisco Giants, 2, @,  San Diego Padres, 5,     Boxscore,
,Oakland Athletics, 0, @,  Texas Rangers, 3,     Boxscore,
, Florida Marlins, 6, @,  Washington Nationals, 3,     Boxscore,
,Cleveland Indians, 0, @,  LA Angels of Anaheim, 2,     Boxscore,
, Boston Red Sox, 8, @,  Baltimore Orioles, 0,     Boxscore,
,Pittsburgh Pirates, 4, @,  Cincinnati Reds, 6,     Boxscore,
, Chicago White Sox, 9, @,  Detroit Tigers, 1,     Boxscore,
,New York Mets, 2, @,  Florida Marlins, 9,     Boxscore,
,Milwaukee Brewers, 1, @,  Houston Astros, 6,     Boxscore,
,Kansas City Royals, 4, @,  Minnesota Twins, 5,     Boxscore,
, Colorado Rockies, 7, @,  Philadelphia Phillies, 4,     Boxscore,
, Los Angeles Dodgers, 3, @,  San Diego Padres, 1,     Boxscore,
,Oakland Athletics, 6, @,  Seattle Mariners, 7,     Boxscore,
, Arizona D'Backs, 2, @,  San Francisco Giants, 1,     Boxscore,
, Chicago Cubs, 3, @,  St. Louis Cardinals, 1,     Boxscore,
, Texas Rangers, 12, @,  Tampa Bay Devil Rays, 10,     Boxscore,
, New York Yankees, 11, @,  Toronto Blue Jays, 2,     Boxscore,
,Atlanta Braves, 0, @,  Washington Nationals, 2,     Boxscore,
,Cleveland Indians, 5, @,  LA Angels of Anaheim, 6,     Boxscore,
, Boston Red Sox, 1, @,  Baltimore Orioles, 0,     Boxscore,
, Pittsburgh Pirates, 4, @,  Cincinnati Reds, 2,     Boxscore,
, Chicago White Sox, 4, @,  Detroit Tigers, 3,     Boxscore,
, New York Mets, 10, @,  Florida Marlins, 1,     Boxscore,
,Milwaukee Brewers, 7, @,  Houston Astros, 8,     Boxscore,
,Kansas City Royals, 9, @,  Minnesota Twins, 10,     Boxscore,
,Colorado Rockies, 3, @,  Philadelphia Phillies, 6,     Boxscore,
,Los Angeles Dodgers, 1, @,  San Diego Padres, 6,     Boxscore,
, Oakland Athletics, 3, @,  Seattle Mariners, 0,     Boxscore,
,Arizona D'Backs, 3, @,  San Francisco Giants, 4,     Boxscore,
,Chicago Cubs, 0, @,  St. Louis Cardinals, 4,     Boxscore,
,Texas Rangers, 2, @,  Tampa Bay Devil Rays, 3,     Boxscore,
, New York Yankees, 4, @,  Toronto Blue Jays, 3,     Boxscore,
, Atlanta Braves, 2, @,  Washington Nationals, 1,     Boxscore,
, Oakland Athletics, 4, @,  LA Angels of Anaheim, 3,     Boxscore,
,San Diego Padres, 3, @,  Arizona D'Backs, 5,     Boxscore,
,Philadelphia Phillies, 2, @,  Atlanta Braves, 6,     Boxscore,
,Los Angeles Dodgers, 1, @,  Colorado Rockies, 9,     Boxscore,
,Minnesota Twins, 4, @,  Detroit Tigers, 5,     Boxscore,
,Cincinnati Reds, 2, @,  Florida Marlins, 4,     Boxscore,
, Chicago White Sox, 8, @,  Kansas City Royals, 2,     Boxscore,
, Texas Rangers, 5, @,  New York Yankees, 3,     Boxscore,
,Washington Nationals, 1, @,  New York Mets, 3,     Boxscore,
, Cleveland Indians, 6, @,  Seattle Mariners, 1,     Boxscore,
, Milwaukee Brewers, 6, @,  San Francisco Giants, 1,     Boxscore,
,Houston Astros, 7, @,  St. Louis Cardinals, 8,     Boxscore,
,Boston Red Sox, 4, @,  Tampa Bay Devil Rays, 5,     Boxscore,
, Baltimore Orioles, 13, @,  Toronto Blue Jays, 5,     Boxscore,
,Oakland Athletics, 5, @,  LA Angels of Anaheim, 9,     Boxscore,
,San Diego Padres, 1, @,  Arizona D'Backs, 2,     Boxscore,
,Philadelphia Phillies, 1, @,  Atlanta Braves, 11,     Boxscore,
, Pittsburgh Pirates, 4, @,  Chicago Cubs, 3,     Boxscore,
,Los Angeles Dodgers, 6, @,  Colorado Rockies, 8,     Boxscore,
,Cincinnati Reds, 2, @,  Florida Marlins, 4,     Boxscore,
, Chicago White Sox, 3, @,  Kansas City Royals, 2,     Boxscore,
, Texas Rangers, 10, @,  New York Yankees, 2,     Boxscore,
,Washington Nationals, 5, @,  New York Mets, 10,     Boxscore,
, Cleveland Indians, 5, @,  Seattle Mariners, 2,     Boxscore,
,Milwaukee Brewers, 2, @,  San Francisco Giants, 6,     Boxscore,
,Houston Astros, 0, @,  St. Louis Cardinals, 1,     Boxscore,
,Boston Red Sox, 5, @,  Tampa Bay Devil Rays, 6,     Boxscore,
, Baltimore Orioles, 4, @,  Toronto Blue Jays, 1,     Boxscore,
,Oakland Athletics, 0, @,  LA Angels of Anaheim, 1,     Boxscore,
,San Diego Padres, 6, @,  Arizona D'Backs, 8,     Boxscore,
,Philadelphia Phillies, 0, @,  Atlanta Braves, 4,     Boxscore,
,Pittsburgh Pirates, 2, @,  Chicago Cubs, 5,     Boxscore,
, Los Angeles Dodgers, 8, @,  Colorado Rockies, 6,     Boxscore,
, Cincinnati Reds, 2, @,  Florida Marlins, 1,     Boxscore,
, Chicago White Sox, 4, @,  Kansas City Royals, 3,     Boxscore,
,Texas Rangers, 1, @,  New York Yankees, 11,     Boxscore,
, Washington Nationals, 11, @,  New York Mets, 4,     Boxscore,
,Cleveland Indians, 1, @,  Seattle Mariners, 9,     Boxscore,
, Milwaukee Brewers, 8, @,  San Francisco Giants, 5,     Boxscore,
,Houston Astros, 5, @,  St. Louis Cardinals, 8,     Boxscore,
, Boston Red Sox, 11, @,  Tampa Bay Devil Rays, 3,     Boxscore,
, Baltimore Orioles, 7, @,  Toronto Blue Jays, 1,     Boxscore,
, Baltimore Orioles, 8, @,  Boston Red Sox, 4,     Boxscore,
,Cincinnati Reds, 6, @,  Chicago Cubs, 10,     Boxscore,
,Minnesota Twins, 4, @,  Detroit Tigers, 6,     Boxscore,
, Arizona D'Backs, 4, @,  Los Angeles Dodgers, 2,     Boxscore,
,Atlanta Braves, 4, @,  New York Mets, 5,     Boxscore,
, Chicago White Sox, 6, @,  Oakland Athletics, 0,     Boxscore,
,Houston Astros, 0, @,  Pittsburgh Pirates, 2,     Boxscore,
, San Diego Padres, 5, @,  San Francisco Giants, 3,     Boxscore,
, Philadelphia Phillies, 5, @,  Washington Nationals, 4,     Boxscore,
, Baltimore Orioles, 11, @,  Boston Red Sox, 8,     Boxscore,
, Cincinnati Reds, 11, @,  Chicago Cubs, 9,     Boxscore,
, Florida Marlins, 9, @,  Colorado Rockies, 3,     Boxscore,
, Minnesota Twins, 2, @,  Kansas City Royals, 1,     Boxscore,
, Arizona D'Backs, 3, @,  Los Angeles Dodgers, 2,     Boxscore,
,LA Angels of Anaheim, 4, @,  New York Yankees, 12,     Boxscore,
, Atlanta Braves, 4, @,  New York Mets, 3,     Boxscore,
,Chicago White Sox, 7, @,  Oakland Athletics, 9,     Boxscore,
,San Diego Padres, 5, @,  San Francisco Giants, 6,     Boxscore,
,Milwaukee Brewers, 3, @,  St. Louis Cardinals, 5,     Boxscore,
, Seattle Mariners, 7, @,  Texas Rangers, 4,     Boxscore,
,Tampa Bay Devil Rays, 5, @,  Toronto Blue Jays, 7,     Boxscore,
,Philadelphia Phillies, 1, @,  Washington Nationals, 3,     Boxscore,
,Cincinnati Reds, 7, @,  Chicago Cubs, 8,     Boxscore,
, Detroit Tigers, 10, @,  Cleveland Indians, 3,     Boxscore,
, Minnesota Twins, 9, @,  Kansas City Royals, 4,     Boxscore,
, Arizona D'Backs, 6, @,  Los Angeles Dodgers, 3,     Boxscore,
, LA Angels of Anaheim, 5, @,  New York Yankees, 1,     Boxscore,
, Atlanta Braves, 8, @,  New York Mets, 4,     Boxscore,
,Chicago White Sox, 1, @,  Oakland Athletics, 2,     Boxscore,
,Houston Astros, 0, @,  Pittsburgh Pirates, 2,     Boxscore,
,San Diego Padres, 3, @,  San Francisco Giants, 10,     Boxscore,
,Milwaukee Brewers, 3, @,  St. Louis Cardinals, 6,     Boxscore,
,Seattle Mariners, 2, @,  Texas Rangers, 8,     Boxscore,
,Tampa Bay Devil Rays, 2, @,  Toronto Blue Jays, 8,     Boxscore,
, Philadelphia Phillies, 3, @,  Washington Nationals, 0,     Boxscore,
, Detroit Tigers, 3, @,  Cleveland Indians, 2,     Boxscore,
, Minnesota Twins, 6, @,  Kansas City Royals, 5,     Boxscore,
, LA Angels of Anaheim, 3, @,  New York Yankees, 1,     Boxscore,
, Milwaukee Brewers, 4, @,  St. Louis Cardinals, 3,     Boxscore,
, Seattle Mariners, 4, @,  Texas Rangers, 1,     Boxscore,
,Tampa Bay Devil Rays, 4, @,  Toronto Blue Jays, 7,     Boxscore,
, St. Louis Cardinals, 6, @,  Atlanta Braves, 5,     Boxscore,
,Tampa Bay Devil Rays, 0, @,  Baltimore Orioles, 5,     Boxscore,
, Detroit Tigers, 3, @,  Chicago White Sox, 2,     Boxscore,
,Kansas City Royals, 0, @,  Cleveland Indians, 6,     Boxscore,
, Chicago Cubs, 3, @,  Houston Astros, 2,     Boxscore,
,Colorado Rockies, 3, @,  Los Angeles Dodgers, 6,     Boxscore,
,Cincinnati Reds, 3, @,  Milwaukee Brewers, 4,     Boxscore,
,LA Angels of Anaheim, 4, @,  Minnesota Twins, 7,     Boxscore,
, Toronto Blue Jays, 2, @,  New York Yankees, 0,     Boxscore,
, Seattle Mariners, 4, @,  Oakland Athletics, 2,     Boxscore,
, Florida Marlins, 6, @,  Philadelphia Phillies, 4,     Boxscore,
, San Francisco Giants, 3, @,  Pittsburgh Pirates, 2,     Boxscore,
,Arizona D'Backs, 4, @,  San Diego Padres, 5,     Boxscore,
,Boston Red Sox, 2, @,  Texas Rangers, 7,     Boxscore,
,New York Mets, 1, @,  Washington Nationals, 5,     Boxscore,
,St. Louis Cardinals, 2, @,  Atlanta Braves, 3,     Boxscore,
,Tampa Bay Devil Rays, 5, @,  Baltimore Orioles, 7,     Boxscore,
,Detroit Tigers, 3, @,  Chicago White Sox, 4,     Boxscore,
, Kansas City Royals, 8, @,  Cleveland Indians, 1,     Boxscore,
,Chicago Cubs, 5, @,  Houston Astros, 7,     Boxscore,
,Colorado Rockies, 2, @,  Los Angeles Dodgers, 6,     Boxscore,
,Cincinnati Reds, 5, @,  Milwaukee Brewers, 6,     Boxscore,
,LA Angels of Anaheim, 2, @,  Minnesota Twins, 4,     Boxscore,
,Toronto Blue Jays, 3, @,  New York Yankees, 4,     Boxscore,
,Seattle Mariners, 5, @,  Oakland Athletics, 6,     Boxscore,
, Florida Marlins, 2, @,  Philadelphia Phillies, 1,     Boxscore,
, San Francisco Giants, 7, @,  Pittsburgh Pirates, 6,     Boxscore,
,Arizona D'Backs, 0, @,  San Diego Padres, 2,     Boxscore,
, Boston Red Sox, 9, @,  Texas Rangers, 2,     Boxscore,
,New York Mets, 3, @,  Washington Nationals, 5,     Boxscore,
,St. Louis Cardinals, 1, @,  Atlanta Braves, 2,     Boxscore,
,Tampa Bay Devil Rays, 4, @,  Baltimore Orioles, 7,     Boxscore,
,Detroit Tigers, 0, @,  Chicago White Sox, 8,     Boxscore,
, Kansas City Royals, 6, @,  Cleveland Indians, 5,     Boxscore,
,Chicago Cubs, 3, @,  Houston Astros, 9,     Boxscore,
,Colorado Rockies, 1, @,  Los Angeles Dodgers, 2,     Boxscore,
,Cincinnati Reds, 3, @,  Milwaukee Brewers, 13,     Boxscore,
, LA Angels of Anaheim, 2, @,  Minnesota Twins, 1,     Boxscore,
, Toronto Blue Jays, 8, @,  New York Yankees, 6,     Boxscore,
,Seattle Mariners, 2, @,  Oakland Athletics, 3,     Boxscore,
,Florida Marlins, 6, @,  Philadelphia Phillies, 8,     Boxscore,
, San Francisco Giants, 8, @,  Pittsburgh Pirates, 3,     Boxscore,
, Arizona D'Backs, 5, @,  San Diego Padres, 2,     Boxscore,
, Boston Red Sox, 6, @,  Texas Rangers, 5,     Boxscore,
, New York Mets, 6, @,  Washington Nationals, 3,     Boxscore,
, San Francisco Giants, 9, @,  Arizona D'Backs, 8,     Boxscore,
, Toronto Blue Jays, 6, @,  Baltimore Orioles, 2,     Boxscore,
, St. Louis Cardinals, 10, @,  Cincinnati Reds, 9,     Boxscore,
,Boston Red Sox, 3, @,  Detroit Tigers, 8,     Boxscore,
,Pittsburgh Pirates, 4, @,  Houston Astros, 11,     Boxscore,
, Washington Nationals, 6, @,  Los Angeles Dodgers, 2,     Boxscore,
,Philadelphia Phillies, 1, @,  New York Mets, 5,     Boxscore,
, Texas Rangers, 3, @,  Oakland Athletics, 2,     Boxscore,
,Colorado Rockies, 4, @,  San Diego Padres, 5,     Boxscore,
, LA Angels of Anaheim, 5, @,  Seattle Mariners, 0,     Boxscore,
, New York Yankees, 6, @,  Tampa Bay Devil Rays, 2,     Boxscore,
,San Francisco Giants, 2, @,  Arizona D'Backs, 3,     Boxscore,
, Florida Marlins, 11, @,  Atlanta Braves, 6,     Boxscore,
