, Tampa Bay Rays, 9, @,  Seattle Mariners, 3,     Boxscore,
,San Diego Padres, 0, @,  San Francisco Giants, 1,     Boxscore,
,New York Mets, 2, @,  St. Louis Cardinals, 5,     Boxscore,
,Texas Rangers, 7, @,  Toronto Blue Jays, 8,     Boxscore,
, Atlanta Braves, 1, @,  Washington Nationals, 0,     Boxscore,
,Detroit Tigers, 5, @,  LA Angels of Anaheim, 10,     Boxscore,
,Chicago White Sox, 2, @,  Baltimore Orioles, 6,     Boxscore,
, Cincinnati Reds, 7, @,  Chicago Cubs, 1,     Boxscore,
,Kansas City Royals, 2, @,  Cleveland Indians, 5,     Boxscore,
, Los Angeles Dodgers, 2, @,  Houston Astros, 0,     Boxscore,
, Milwaukee Brewers, 6, @,  Philadelphia Phillies, 1,     Boxscore,
,Tampa Bay Rays, 0, @,  Seattle Mariners, 1,     Boxscore,
,New York Mets, 8, @,  St. Louis Cardinals, 12,     Boxscore,
,Texas Rangers, 2, @,  Toronto Blue Jays, 5,     Boxscore,
, Seattle Mariners, 8, @,  LA Angels of Anaheim, 3,     Boxscore,
, San Francisco Giants, 5, @,  Arizona D'Backs, 1,     Boxscore,
, Texas Rangers, 5, @,  Baltimore Orioles, 4,     Boxscore,
,New York Yankees, 4, @,  Boston Red Sox, 5,     Boxscore,
, Toronto Blue Jays, 14, @,  Chicago White Sox, 0,     Boxscore,
, Atlanta Braves, 4, @,  Cincinnati Reds, 3,     Boxscore,
, Minnesota Twins, 5, @,  Cleveland Indians, 1,     Boxscore,
, Los Angeles Dodgers, 6, @,  Colorado Rockies, 5,     Boxscore,
, Philadelphia Phillies, 7, @,  Florida Marlins, 3,     Boxscore,
, Milwaukee Brewers, 5, @,  Houston Astros, 2,     Boxscore,
,Detroit Tigers, 1, @,  Kansas City Royals, 6,     Boxscore,
,Washington Nationals, 3, @,  New York Mets, 4,     Boxscore,
, Tampa Bay Rays, 8, @,  Oakland Athletics, 2,     Boxscore,
,Pittsburgh Pirates, 3, @,  San Diego Padres, 4,     Boxscore,
,Chicago Cubs, 3, @,  St. Louis Cardinals, 4,     Boxscore,
, Seattle Mariners, 9, @,  LA Angels of Anaheim, 8,     Boxscore,
, San Francisco Giants, 5, @,  Arizona D'Backs, 3,     Boxscore,
, Texas Rangers, 6, @,  Baltimore Orioles, 5,     Boxscore,
,New York Yankees, 11, @,  Boston Red Sox, 16,     Boxscore,
,Toronto Blue Jays, 2, @,  Chicago White Sox, 10,     Boxscore,
, Atlanta Braves, 10, @,  Cincinnati Reds, 2,     Boxscore,
, Minnesota Twins, 7, @,  Cleveland Indians, 1,     Boxscore,
, Los Angeles Dodgers, 6, @,  Colorado Rockies, 5,     Boxscore,
, Philadelphia Phillies, 6, @,  Florida Marlins, 4,     Boxscore,
, Milwaukee Brewers, 9, @,  Houston Astros, 8,     Boxscore,
, Detroit Tigers, 9, @,  Kansas City Royals, 1,     Boxscore,
,Washington Nationals, 2, @,  New York Mets, 8,     Boxscore,
,Tampa Bay Rays, 2, @,  Oakland Athletics, 5,     Boxscore,
, Pittsburgh Pirates, 10, @,  San Diego Padres, 1,     Boxscore,
,Chicago Cubs, 2, @,  St. Louis Cardinals, 8,     Boxscore,
,Seattle Mariners, 0, @,  LA Angels of Anaheim, 8,     Boxscore,
,San Francisco Giants, 4, @,  Arizona D'Backs, 5,     Boxscore,
,Texas Rangers, 5, @,  Baltimore Orioles, 8,     Boxscore,
,New York Yankees, 1, @,  Boston Red Sox, 4,     Boxscore,
, Toronto Blue Jays, 4, @,  Chicago White Sox, 3,     Boxscore,
,Atlanta Braves, 2, @,  Cincinnati Reds, 8,     Boxscore,
,Minnesota Twins, 2, @,  Cleveland Indians, 4,     Boxscore,
,Los Angeles Dodgers, 4, @,  Colorado Rockies, 10,     Boxscore,
, Philadelphia Phillies, 13, @,  Florida Marlins, 2,     Boxscore,
,Milwaukee Brewers, 2, @,  Houston Astros, 3,     Boxscore,
, Detroit Tigers, 3, @,  Kansas City Royals, 2,     Boxscore,
, Washington Nationals, 8, @,  New York Mets, 1,     Boxscore,
,Tampa Bay Rays, 1, @,  Oakland Athletics, 7,     Boxscore,
, Pittsburgh Pirates, 8, @,  San Diego Padres, 3,     Boxscore,
, Chicago Cubs, 10, @,  St. Louis Cardinals, 3,     Boxscore,
,Chicago Cubs, 2, @,  Arizona D'Backs, 7,     Boxscore,
, St. Louis Cardinals, 3, @,  Atlanta Braves, 2,     Boxscore,
, Texas Rangers, 6, @,  Baltimore Orioles, 4,     Boxscore,
, Houston Astros, 4, @,  Cincinnati Reds, 1,     Boxscore,
, Boston Red Sox, 3, @,  Cleveland Indians, 1,     Boxscore,
,San Diego Padres, 7, @,  Colorado Rockies, 12,     Boxscore,
,New York Yankees, 2, @,  Detroit Tigers, 4,     Boxscore,
,Toronto Blue Jays, 1, @,  Kansas City Royals, 7,     Boxscore,
,Pittsburgh Pirates, 5, @,  Milwaukee Brewers, 10,     Boxscore,
, Tampa Bay Rays, 7, @,  Minnesota Twins, 1,     Boxscore,
,Florida Marlins, 1, @,  New York Mets, 7,     Boxscore,
,Washington Nationals, 11, @,  Philadelphia Phillies, 13,     Boxscore,
,Los Angeles Dodgers, 4, @,  San Francisco Giants, 5,     Boxscore,
, Chicago Cubs, 11, @,  Arizona D'Backs, 3,     Boxscore,
,St. Louis Cardinals, 1, @,  Atlanta Braves, 2,     Boxscore,
, LA Angels of Anaheim, 7, @,  Baltimore Orioles, 5,     Boxscore,
,Seattle Mariners, 1, @,  Chicago White Sox, 2,     Boxscore,
, Seattle Mariners, 9, @,  Chicago White Sox, 1,     Boxscore,
, Houston Astros, 8, @,  Cincinnati Reds, 3,     Boxscore,
,Boston Red Sox, 8, @,  Cleveland Indians, 9,     Boxscore,
, San Diego Padres, 4, @,  Colorado Rockies, 3,     Boxscore,
, New York Yankees, 11, @,  Detroit Tigers, 0,     Boxscore,
, Toronto Blue Jays, 8, @,  Kansas City Royals, 1,     Boxscore,
,Pittsburgh Pirates, 5, @,  Milwaukee Brewers, 6,     Boxscore,
,Tampa Bay Rays, 3, @,  Minnesota Twins, 4,     Boxscore,
, Florida Marlins, 7, @,  New York Mets, 4,     Boxscore,
,Washington Nationals, 1, @,  Philadelphia Phillies, 7,     Boxscore,
, Los Angeles Dodgers, 5, @,  San Francisco Giants, 3,     Boxscore,
,Oakland Athletics, 4, @,  Texas Rangers, 5,     Boxscore,
,Chicago Cubs, 0, @,  Arizona D'Backs, 10,     Boxscore,
, St. Louis Cardinals, 5, @,  Atlanta Braves, 3,     Boxscore,
, LA Angels of Anaheim, 3, @,  Baltimore Orioles, 2,     Boxscore,
,Seattle Mariners, 3, @,  Chicago White Sox, 6,     Boxscore,
,Houston Astros, 0, @,  Cincinnati Reds, 3,     Boxscore,
, Boston Red Sox, 6, @,  Cleveland Indians, 5,     Boxscore,
