,Colorado Rockies, 3, @,  Los Angeles Dodgers, 7,     Boxscore,
,Cleveland Indians, 2, @,  Minnesota Twins, 3,     Boxscore,
,Miami Marlins, 1, @,  New York Mets, 4,     Boxscore,
,Milwaukee Brewers, 3, @,  Pittsburgh Pirates, 6,     Boxscore,
, Texas Rangers, 3, @,  Seattle Mariners, 1,     Boxscore,
, Arizona D'Backs, 9, @,  San Francisco Giants, 0,     Boxscore,
,Cincinnati Reds, 1, @,  St. Louis Cardinals, 6,     Boxscore,
, New York Yankees, 5, @,  Tampa Bay Rays, 4,     Boxscore,
, Atlanta Braves, 8, @,  Toronto Blue Jays, 7,     Boxscore,
,Philadelphia Phillies, 2, @,  Washington Nationals, 7,     Boxscore,
, Baltimore Orioles, 4, @,  Boston Red Sox, 1,     Boxscore,
,San Diego Padres, 6, @,  Chicago Cubs, 7,     Boxscore,
, Chicago White Sox, 12, @,  Detroit Tigers, 3,     Boxscore,
,LA Angels of Anaheim, 0, @,  Houston Astros, 4,     Boxscore,
, Oakland Athletics, 5, @,  Kansas City Royals, 0,     Boxscore,
,Colorado Rockies, 3, @,  Los Angeles Dodgers, 6,     Boxscore,
, Cleveland Indians, 4, @,  Minnesota Twins, 2,     Boxscore,
,Miami Marlins, 4, @,  New York Mets, 5,     Boxscore,
,Milwaukee Brewers, 2, @,  Pittsburgh Pirates, 6,     Boxscore,
,Texas Rangers, 1, @,  Seattle Mariners, 3,     Boxscore,
,Arizona D'Backs, 1, @,  San Francisco Giants, 4,     Boxscore,
,Cincinnati Reds, 2, @,  St. Louis Cardinals, 5,     Boxscore,
, New York Yankees, 9, @,  Tampa Bay Rays, 0,     Boxscore,
,Atlanta Braves, 5, @,  Toronto Blue Jays, 6,     Boxscore,
, Philadelphia Phillies, 5, @,  Washington Nationals, 3,     Boxscore,
, Baltimore Orioles, 8, @,  Boston Red Sox, 3,     Boxscore,
, San Diego Padres, 5, @,  Chicago Cubs, 2,     Boxscore,
,Chicago White Sox, 1, @,  Detroit Tigers, 9,     Boxscore,
,LA Angels of Anaheim, 3, @,  Houston Astros, 4,     Boxscore,
,Oakland Athletics, 2, @,  Kansas City Royals, 4,     Boxscore,
,Colorado Rockies, 0, @,  Los Angeles Dodgers, 7,     Boxscore,
,Cleveland Indians, 2, @,  Minnesota Twins, 7,     Boxscore,
,Miami Marlins, 6, @,  New York Mets, 7,     Boxscore,
,Milwaukee Brewers, 2, @,  Pittsburgh Pirates, 5,     Boxscore,
,Texas Rangers, 10, @,  Seattle Mariners, 11,     Boxscore,
, Arizona D'Backs, 5, @,  San Francisco Giants, 1,     Boxscore,
,Cincinnati Reds, 1, @,  St. Louis Cardinals, 2,     Boxscore,
, New York Yankees, 5, @,  Tampa Bay Rays, 3,     Boxscore,
, Atlanta Braves, 5, @,  Toronto Blue Jays, 2,     Boxscore,
,Philadelphia Phillies, 1, @,  Washington Nationals, 4,     Boxscore,
, Oakland Athletics, 6, @,  LA Angels of Anaheim, 3,     Boxscore,
,Baltimore Orioles, 1, @,  Boston Red Sox, 7,     Boxscore,
,Cleveland Indians, 3, @,  Chicago White Sox, 4,     Boxscore,
, San Diego Padres, 14, @,  Colorado Rockies, 3,     Boxscore,
,New York Yankees, 1, @,  Detroit Tigers, 2,     Boxscore,
,Minnesota Twins, 1, @,  Kansas City Royals, 7,     Boxscore,
, Cincinnati Reds, 6, @,  Milwaukee Brewers, 1,     Boxscore,
, Chicago Cubs, 5, @,  Pittsburgh Pirates, 2,     Boxscore,
, Houston Astros, 7, @,  Seattle Mariners, 5,     Boxscore,
,Oakland Athletics, 1, @,  LA Angels of Anaheim, 14,     Boxscore,
, Texas Rangers, 7, @,  Arizona D'Backs, 1,     Boxscore,
, Cleveland Indians, 6, @,  Chicago White Sox, 2,     Boxscore,
, San Diego Padres, 7, @,  Colorado Rockies, 6,     Boxscore,
, New York Yankees, 5, @,  Detroit Tigers, 2,     Boxscore,
,Minnesota Twins, 5, @,  Kansas City Royals, 6,     Boxscore,
, Cincinnati Reds, 16, @,  Milwaukee Brewers, 10,     Boxscore,
,Atlanta Braves, 1, @,  New York Mets, 7,     Boxscore,
,Miami Marlins, 3, @,  Philadelphia Phillies, 7,     Boxscore,
, Chicago Cubs, 9, @,  Pittsburgh Pirates, 8,     Boxscore,
, Houston Astros, 6, @,  Seattle Mariners, 3,     Boxscore,
,Los Angeles Dodgers, 2, @,  San Francisco Giants, 6,     Boxscore,
, Boston Red Sox, 1, @,  Tampa Bay Rays, 0,     Boxscore,
,Baltimore Orioles, 6, @,  Toronto Blue Jays, 13,     Boxscore,
,St. Louis Cardinals, 1, @,  Washington Nationals, 2,     Boxscore,
, Oakland Athletics, 9, @,  LA Angels of Anaheim, 2,     Boxscore,
,Texas Rangers, 5, @,  Arizona D'Backs, 8,     Boxscore,
,Cleveland Indians, 0, @,  Chicago White Sox, 6,     Boxscore,
,San Diego Padres, 4, @,  Colorado Rockies, 5,     Boxscore,
, New York Yankees, 13, @,  Detroit Tigers, 4,     Boxscore,
, Minnesota Twins, 3, @,  Kansas City Royals, 0,     Boxscore,
, Cincinnati Reds, 2, @,  Milwaukee Brewers, 1,     Boxscore,
,Atlanta Braves, 2, @,  New York Mets, 3,     Boxscore,
, Miami Marlins, 6, @,  Philadelphia Phillies, 1,     Boxscore,
,Chicago Cubs, 3, @,  Pittsburgh Pirates, 4,     Boxscore,
,Houston Astros, 2, @,  Seattle Mariners, 3,     Boxscore,
,Los Angeles Dodgers, 2, @,  San Francisco Giants, 3,     Boxscore,
,Boston Red Sox, 5, @,  Tampa Bay Rays, 7,     Boxscore,
,Baltimore Orioles, 2, @,  Toronto Blue Jays, 4,     Boxscore,
, St. Louis Cardinals, 7, @,  Washington Nationals, 5,     Boxscore,
,Oakland Athletics, 0, @,  LA Angels of Anaheim, 2,     Boxscore,
, Kansas City Royals, 3, @,  Chicago White Sox, 2,     Boxscore,
,San Diego Padres, 1, @,  Colorado Rockies, 2,     Boxscore,
, New York Yankees, 2, @,  Detroit Tigers, 1,     Boxscore,
,Cincinnati Reds, 2, @,  Milwaukee Brewers, 4,     Boxscore,
,Atlanta Braves, 3, @,  New York Mets, 6,     Boxscore,
, Miami Marlins, 9, @,  Philadelphia Phillies, 1,     Boxscore,
,Chicago Cubs, 4, @,  Pittsburgh Pirates, 5,     Boxscore,
,Los Angeles Dodgers, 2, @,  San Francisco Giants, 3,     Boxscore,
,Boston Red Sox, 1, @,  Tampa Bay Rays, 2,     Boxscore,
,Baltimore Orioles, 6, @,  Toronto Blue Jays, 7,     Boxscore,
, St. Louis Cardinals, 4, @,  Washington Nationals, 1,     Boxscore,
,Texas Rangers, 2, @,  LA Angels of Anaheim, 3,     Boxscore,
, Pittsburgh Pirates, 4, @,  Arizona D'Backs, 1,     Boxscore,
, Boston Red Sox, 7, @,  Baltimore Orioles, 5,     Boxscore,
,Kansas City Royals, 2, @,  Chicago White Sox, 3,     Boxscore,
, Chicago Cubs, 7, @,  Cincinnati Reds, 3,     Boxscore,
,San Francisco Giants, 4, @,  Colorado Rockies, 6,     Boxscore,
, Cleveland Indians, 13, @,  Detroit Tigers, 1,     Boxscore,
,Washington Nationals, 2, @,  Miami Marlins, 3,     Boxscore,
, St. Louis Cardinals, 3, @,  Milwaukee Brewers, 0,     Boxscore,
,New York Mets, 1, @,  New York Yankees, 6,     Boxscore,
, Houston Astros, 5, @,  Oakland Athletics, 4,     Boxscore,
,Atlanta Braves, 0, @,  Philadelphia Phillies, 1,     Boxscore,
, Los Angeles Dodgers, 3, @,  San Diego Padres, 0,     Boxscore,
,Minnesota Twins, 0, @,  Seattle Mariners, 2,     Boxscore,
,Toronto Blue Jays, 3, @,  Tampa Bay Rays, 12,     Boxscore,
,Texas Rangers, 1, @,  LA Angels of Anaheim, 4,     Boxscore,
, Pittsburgh Pirates, 2, @,  Arizona D'Backs, 1,     Boxscore,
,Boston Red Sox, 4, @,  Baltimore Orioles, 5,     Boxscore,
, San Francisco Giants, 5, @,  Colorado Rockies, 4,     Boxscore,
,Cleveland Indians, 1, @,  Detroit Tigers, 4,     Boxscore,
,Washington Nationals, 0, @,  Miami Marlins, 8,     Boxscore,
, St. Louis Cardinals, 5, @,  Milwaukee Brewers, 3,     Boxscore,
, New York Mets, 8, @,  New York Yankees, 2,     Boxscore,
, Houston Astros, 9, @,  Oakland Athletics, 3,     Boxscore,
, Atlanta Braves, 5, @,  Philadelphia Phillies, 2,     Boxscore,
, Los Angeles Dodgers, 11, @,  San Diego Padres, 8,     Boxscore,
, Minnesota Twins, 8, @,  Seattle Mariners, 5,     Boxscore,
,Toronto Blue Jays, 2, @,  Tampa Bay Rays, 4,     Boxscore,
, Texas Rangers, 5, @,  LA Angels of Anaheim, 4,     Boxscore,
, Pittsburgh Pirates, 8, @,  Arizona D'Backs, 0,     Boxscore,
,Boston Red Sox, 7, @,  Baltimore Orioles, 18,     Boxscore,
,Kansas City Royals, 3, @,  Chicago White Sox, 5,     Boxscore,
, Chicago Cubs, 5, @,  Cincinnati Reds, 2,     Boxscore,
,Cleveland Indians, 6, @,  Detroit Tigers, 8,     Boxscore,
,Washington Nationals, 2, @,  Miami Marlins, 6,     Boxscore,
,St. Louis Cardinals, 3, @,  Milwaukee Brewers, 6,     Boxscore,
,New York Mets, 4, @,  New York Yankees, 6,     Boxscore,
, Houston Astros, 7, @,  Oakland Athletics, 6,     Boxscore,
,Atlanta Braves, 4, @,  Philadelphia Phillies, 5,     Boxscore,
,Los Angeles Dodgers, 1, @,  San Diego Padres, 3,     Boxscore,
, Minnesota Twins, 4, @,  Seattle Mariners, 2,     Boxscore,
,Toronto Blue Jays, 1, @,  Tampa Bay Rays, 5,     Boxscore,
, Colorado Rockies, 5, @,  Arizona D'Backs, 4,     Boxscore,
,Washington Nationals, 4, @,  Atlanta Braves, 8,     Boxscore,
,Toronto Blue Jays, 5, @,  Boston Red Sox, 6,     Boxscore,
,Pittsburgh Pirates, 0, @,  Chicago Cubs, 4,     Boxscore,
,Milwaukee Brewers, 6, @,  Cincinnati Reds, 9,     Boxscore,
, Kansas City Royals, 6, @,  Cleveland Indians, 2,     Boxscore,
,San Francisco Giants, 3, @,  Los Angeles Dodgers, 8,     Boxscore,
, New York Mets, 3, @,  Miami Marlins, 1,     Boxscore,
, Detroit Tigers, 5, @,  Minnesota Twins, 4,     Boxscore,
,Tampa Bay Rays, 1, @,  New York Yankees, 4,     Boxscore,
, Houston Astros, 9, @,  San Diego Padres, 4,     Boxscore,
, Philadelphia Phillies, 4, @,  St. Louis Cardinals, 1,     Boxscore,
, Seattle Mariners, 3, @,  Texas Rangers, 1,     Boxscore,
,Colorado Rockies, 5, @,  Arizona D'Backs, 12,     Boxscore,
, Washington Nationals, 13, @,  Atlanta Braves, 12,     Boxscore,
, Toronto Blue Jays, 11, @,  Boston Red Sox, 8,     Boxscore,
,Pittsburgh Pirates, 2, @,  Chicago Cubs, 6,     Boxscore,
,Milwaukee Brewers, 2, @,  Cincinnati Reds, 4,     Boxscore,
, Kansas City Royals, 11, @,  Cleveland Indians, 5,     Boxscore,
, San Francisco Giants, 2, @,  Los Angeles Dodgers, 1,     Boxscore,
,New York Mets, 3, @,  Miami Marlins, 4,     Boxscore,
,Detroit Tigers, 2, @,  Minnesota Twins, 3,     Boxscore,
,Tampa Bay Rays, 2, @,  New York Yankees, 4,     Boxscore,
,LA Angels of Anaheim, 2, @,  Oakland Athletics, 6,     Boxscore,
, Houston Astros, 14, @,  San Diego Padres, 3,     Boxscore,
,Philadelphia Phillies, 5, @,  St. Louis Cardinals, 11,     Boxscore,
, Seattle Mariners, 2, @,  Texas Rangers, 1,     Boxscore,
,Colorado Rockies, 1, @,  Arizona D'Backs, 9,     Boxscore,
, Washington Nationals, 13, @,  Atlanta Braves, 4,     Boxscore,
,Chicago White Sox, 2, @,  Baltimore Orioles, 8,     Boxscore,
,Toronto Blue Jays, 1, @,  Boston Red Sox, 4,     Boxscore,
, Pittsburgh Pirates, 8, @,  Chicago Cubs, 1,     Boxscore,
, Milwaukee Brewers, 8, @,  Cincinnati Reds, 3,     Boxscore,
,Kansas City Royals, 5, @,  Cleveland Indians, 7,     Boxscore,
,San Francisco Giants, 3, @,  Los Angeles Dodgers, 7,     Boxscore,
,New York Mets, 3, @,  Miami Marlins, 7,     Boxscore,
, Detroit Tigers, 10, @,  Minnesota Twins, 7,     Boxscore,
, Tampa Bay Rays, 3, @,  New York Yankees, 2,     Boxscore,
, LA Angels of Anaheim, 6, @,  Oakland Athletics, 3,     Boxscore,
, Houston Astros, 7, @,  San Diego Padres, 2,     Boxscore,
,Philadelphia Phillies, 2, @,  St. Louis Cardinals, 5,     Boxscore,
, Seattle Mariners, 5, @,  Texas Rangers, 2,     Boxscore,
, Cincinnati Reds, 5, @,  Atlanta Braves, 1,     Boxscore,
, Toronto Blue Jays, 5, @,  Cleveland Indians, 1,     Boxscore,
,Seattle Mariners, 2, @,  Houston Astros, 3,     Boxscore,
,Detroit Tigers, 1, @,  Kansas City Royals, 8,     Boxscore,
,Chicago White Sox, 2, @,  Minnesota Twins, 12,     Boxscore,
, Washington Nationals, 8, @,  New York Mets, 2,     Boxscore,
, LA Angels of Anaheim, 6, @,  Oakland Athletics, 5,     Boxscore,
,Philadelphia Phillies, 3, @,  St. Louis Cardinals, 9,     Boxscore,
,Cincinnati Reds, 3, @,  Atlanta Braves, 4,     Boxscore,
, New York Yankees, 3, @,  Boston Red Sox, 2,     Boxscore,
,Milwaukee Brewers, 0, @,  Chicago Cubs, 1,     Boxscore,
,Toronto Blue Jays, 4, @,  Cleveland Indians, 9,     Boxscore,
,Seattle Mariners, 3, @,  Houston Astros, 4,     Boxscore,
,Detroit Tigers, 1, @,  Kansas City Royals, 4,     Boxscore,
,Arizona D'Backs, 0, @,  Los Angeles Dodgers, 8,     Boxscore,
,Philadelphia Phillies, 3, @,  Miami Marlins, 4,     Boxscore,
,Chicago White Sox, 0, @,  Minnesota Twins, 1,     Boxscore,
,Washington Nationals, 0, @,  New York Mets, 4,     Boxscore,
,Colorado Rockies, 3, @,  San Diego Padres, 14,     Boxscore,
,LA Angels of Anaheim, 2, @,  San Francisco Giants, 3,     Boxscore,
,Pittsburgh Pirates, 1, @,  St. Louis Cardinals, 2,     Boxscore,
,Baltimore Orioles, 0, @,  Tampa Bay Rays, 2,     Boxscore,
, Oakland Athletics, 7, @,  Texas Rangers, 5,     Boxscore,
, Cincinnati Reds, 8, @,  Atlanta Braves, 4,     Boxscore,
, New York Yankees, 4, @,  Boston Red Sox, 2,     Boxscore,
, Milwaukee Brewers, 6, @,  Chicago Cubs, 1,     Boxscore,
, Toronto Blue Jays, 11, @,  Cleveland Indians, 4,     Boxscore,
,Seattle Mariners, 4, @,  Houston Astros, 11,     Boxscore,
, Detroit Tigers, 2, @,  Kansas City Royals, 1,     Boxscore,
,Arizona D'Backs, 4, @,  Los Angeles Dodgers, 6,     Boxscore,
,Philadelphia Phillies, 0, @,  Miami Marlins, 7,     Boxscore,
,Chicago White Sox, 3, @,  Minnesota Twins, 5,     Boxscore,
, Washington Nationals, 1, @,  New York Mets, 0,     Boxscore,
,Colorado Rockies, 2, @,  San Diego Padres, 4,     Boxscore,
,LA Angels of Anaheim, 4, @,  San Francisco Giants, 5,     Boxscore,
,Pittsburgh Pirates, 1, @,  St. Louis Cardinals, 2,     Boxscore,
, Baltimore Orioles, 4, @,  Tampa Bay Rays, 0,     Boxscore,
,Oakland Athletics, 7, @,  Texas Rangers, 8,     Boxscore,
,Cincinnati Reds, 0, @,  Atlanta Braves, 5,     Boxscore,
, New York Yankees, 8, @,  Boston Red Sox, 5,     Boxscore,
, Milwaukee Brewers, 5, @,  Chicago Cubs, 3,     Boxscore,
,Toronto Blue Jays, 7, @,  Cleveland Indians, 10,     Boxscore,
,Seattle Mariners, 6, @,  Houston Astros, 7,     Boxscore,
, Detroit Tigers, 6, @,  Kansas City Royals, 4,     Boxscore,
,Arizona D'Backs, 0, @,  Los Angeles Dodgers, 1,     Boxscore,
, Philadelphia Phillies, 6, @,  Miami Marlins, 2,     Boxscore,
,Chicago White Sox, 3, @,  Minnesota Twins, 13,     Boxscore,
, Washington Nationals, 1, @,  New York Mets, 0,     Boxscore,
,Colorado Rockies, 6, @,  San Diego Padres, 8,     Boxscore,
,LA Angels of Anaheim, 0, @,  San Francisco Giants, 5,     Boxscore,
,Pittsburgh Pirates, 2, @,  St. Louis Cardinals, 3,     Boxscore,
, Baltimore Orioles, 4, @,  Tampa Bay Rays, 2,     Boxscore,
, Oakland Athletics, 7, @,  Texas Rangers, 1,     Boxscore,
, Seattle Mariners, 3, @,  LA Angels of Anaheim, 2,     Boxscore,
, Philadelphia Phillies, 5, @,  Atlanta Braves, 2,     Boxscore,
, Tampa Bay Rays, 5, @,  Boston Red Sox, 1,     Boxscore,
, Texas Rangers, 2, @,  Houston Astros, 1,     Boxscore,
,Los Angeles Dodgers, 3, @,  Milwaukee Brewers, 4,     Boxscore,
,Oakland Athletics, 7, @,  Minnesota Twins, 8,     Boxscore,
,San Diego Padres, 0, @,  San Francisco Giants, 2,     Boxscore,
,Chicago Cubs, 9, @,  St. Louis Cardinals, 10,     Boxscore,
,New York Yankees, 1, @,  Toronto Blue Jays, 3,     Boxscore,
