, Colorado Rockies, 5, @,  New York Mets, 4,     Boxscore,
, Milwaukee Brewers, 6, @,  Pittsburgh Pirates, 0,     Boxscore,
,Cincinnati Reds, 2, @,  San Diego Padres, 3,     Boxscore,
, Toronto Blue Jays, 8, @,  Seattle Mariners, 3,     Boxscore,
,Los Angeles Dodgers, 3, @,  San Francisco Giants, 4,     Boxscore,
, Philadelphia Phillies, 3, @,  Washington Nationals, 2,     Boxscore,
, Florida Marlins, 6, @,  Atlanta Braves, 5,     Boxscore,
,San Diego Padres, 0, @,  Houston Astros, 1,     Boxscore,
,Seattle Mariners, 1, @,  Kansas City Royals, 5,     Boxscore,
, St. Louis Cardinals, 9, @,  Los Angeles Dodgers, 5,     Boxscore,
,Baltimore Orioles, 5, @,  New York Yankees, 6,     Boxscore,
, Colorado Rockies, 6, @,  New York Mets, 5,     Boxscore,
, Colorado Rockies, 9, @,  New York Mets, 4,     Boxscore,
, Detroit Tigers, 3, @,  Oakland Athletics, 0,     Boxscore,
, Milwaukee Brewers, 4, @,  Pittsburgh Pirates, 1,     Boxscore,
,Minnesota Twins, 3, @,  Tampa Bay Rays, 4,     Boxscore,
, Philadelphia Phillies, 4, @,  Washington Nationals, 0,     Boxscore,
, San Francisco Giants, 5, @,  Arizona D'Backs, 2,     Boxscore,
, Toronto Blue Jays, 7, @,  Boston Red Sox, 6,     Boxscore,
, LA Angels of Anaheim, 4, @,  Chicago White Sox, 3,     Boxscore,
, Pittsburgh Pirates, 6, @,  Cincinnati Reds, 1,     Boxscore,
,Baltimore Orioles, 2, @,  Cleveland Indians, 8,     Boxscore,
,Chicago Cubs, 0, @,  Colorado Rockies, 5,     Boxscore,
, San Diego Padres, 4, @,  Houston Astros, 2,     Boxscore,
,Seattle Mariners, 5, @,  Kansas City Royals, 6,     Boxscore,
, St. Louis Cardinals, 11, @,  Los Angeles Dodgers, 2,     Boxscore,
, Texas Rangers, 5, @,  New York Yankees, 3,     Boxscore,
, Detroit Tigers, 8, @,  Oakland Athletics, 4,     Boxscore,
, Florida Marlins, 4, @,  Philadelphia Phillies, 3,     Boxscore,
,Minnesota Twins, 2, @,  Tampa Bay Rays, 5,     Boxscore,
,Milwaukee Brewers, 3, @,  Washington Nationals, 4,     Boxscore,
, San Francisco Giants, 5, @,  Arizona D'Backs, 3,     Boxscore,
,New York Mets, 2, @,  Atlanta Braves, 4,     Boxscore,
,New York Mets, 0, @,  Atlanta Braves, 4,     Boxscore,
,Toronto Blue Jays, 1, @,  Boston Red Sox, 4,     Boxscore,
