,Colorado Rockies, 3, @,  Cincinnati Reds, 4,     Boxscore,
,Seattle Mariners, 2, @,  Cleveland Indians, 3,     Boxscore,
,Detroit Tigers, 6, @,  Kansas City Royals, 8,     Boxscore,
, Washington Nationals, 7, @,  Miami Marlins, 0,     Boxscore,
, Milwaukee Brewers, 6, @,  Minnesota Twins, 5,     Boxscore,
, Oakland Athletics, 3, @,  New York Yankees, 2,     Boxscore,
, New York Mets, 11, @,  Philadelphia Phillies, 1,     Boxscore,
,Pittsburgh Pirates, 4, @,  San Diego Padres, 5,     Boxscore,
, Arizona D'Backs, 3, @,  San Francisco Giants, 0,     Boxscore,
, Chicago Cubs, 2, @,  St. Louis Cardinals, 1,     Boxscore,
,Houston Astros, 5, @,  Texas Rangers, 7,     Boxscore,
, Los Angeles Dodgers, 5, @,  Atlanta Braves, 3,     Boxscore,
,Toronto Blue Jays, 3, @,  Baltimore Orioles, 4,     Boxscore,
,Tampa Bay Rays, 3, @,  Boston Red Sox, 7,     Boxscore,
,LA Angels of Anaheim, 1, @,  Chicago White Sox, 2,     Boxscore,
,Colorado Rockies, 5, @,  Cincinnati Reds, 6,     Boxscore,
, Seattle Mariners, 2, @,  Cleveland Indians, 1,     Boxscore,
, Detroit Tigers, 3, @,  Kansas City Royals, 2,     Boxscore,
, Washington Nationals, 3, @,  Miami Marlins, 1,     Boxscore,
,Minnesota Twins, 5, @,  Milwaukee Brewers, 10,     Boxscore,
, Oakland Athletics, 5, @,  New York Yankees, 2,     Boxscore,
,New York Mets, 4, @,  Philadelphia Phillies, 5,     Boxscore,
,Pittsburgh Pirates, 2, @,  San Diego Padres, 8,     Boxscore,
, Arizona D'Backs, 2, @,  San Francisco Giants, 1,     Boxscore,
,Chicago Cubs, 3, @,  St. Louis Cardinals, 5,     Boxscore,
,Houston Astros, 1, @,  Texas Rangers, 2,     Boxscore,
, Los Angeles Dodgers, 2, @,  Atlanta Braves, 1,     Boxscore,
,Toronto Blue Jays, 2, @,  Baltimore Orioles, 3,     Boxscore,
, Tampa Bay Rays, 12, @,  Boston Red Sox, 8,     Boxscore,
, LA Angels of Anaheim, 3, @,  Chicago White Sox, 2,     Boxscore,
, Chicago Cubs, 16, @,  Cincinnati Reds, 0,     Boxscore,
, Seattle Mariners, 10, @,  Cleveland Indians, 7,     Boxscore,
,Detroit Tigers, 0, @,  Kansas City Royals, 4,     Boxscore,
,Washington Nationals, 1, @,  Miami Marlins, 5,     Boxscore,
, Minnesota Twins, 8, @,  Milwaukee Brewers, 1,     Boxscore,
, Oakland Athletics, 7, @,  New York Yankees, 3,     Boxscore,
, Pittsburgh Pirates, 11, @,  San Diego Padres, 1,     Boxscore,
, Arizona D'Backs, 6, @,  San Francisco Giants, 2,     Boxscore,
,Houston Astros, 4, @,  Texas Rangers, 7,     Boxscore,
, Seattle Mariners, 5, @,  LA Angels of Anaheim, 2,     Boxscore,
, Pittsburgh Pirates, 8, @,  Arizona D'Backs, 7,     Boxscore,
, New York Mets, 6, @,  Atlanta Braves, 3,     Boxscore,
,Texas Rangers, 0, @,  Chicago White Sox, 5,     Boxscore,
, Chicago Cubs, 8, @,  Cincinnati Reds, 1,     Boxscore,
,Los Angeles Dodgers, 5, @,  Colorado Rockies, 7,     Boxscore,
, Cleveland Indians, 2, @,  Detroit Tigers, 1,     Boxscore,
, Boston Red Sox, 6, @,  Houston Astros, 2,     Boxscore,
,Baltimore Orioles, 2, @,  Kansas City Royals, 4,     Boxscore,
, Philadelphia Phillies, 5, @,  Milwaukee Brewers, 2,     Boxscore,
,Tampa Bay Rays, 3, @,  New York Yankees, 6,     Boxscore,
,St. Louis Cardinals, 1, @,  San Diego Padres, 4,     Boxscore,
,Miami Marlins, 1, @,  San Francisco Giants, 8,     Boxscore,
, Oakland Athletics, 8, @,  Toronto Blue Jays, 5,     Boxscore,
,Minnesota Twins, 4, @,  Washington Nationals, 8,     Boxscore,
,Seattle Mariners, 2, @,  LA Angels of Anaheim, 4,     Boxscore,
,Pittsburgh Pirates, 1, @,  Arizona D'Backs, 7,     Boxscore,
, New York Mets, 8, @,  Atlanta Braves, 2,     Boxscore,
,Texas Rangers, 3, @,  Chicago White Sox, 4,     Boxscore,
,Chicago Cubs, 5, @,  Cincinnati Reds, 13,     Boxscore,
