,Baltimore Orioles, 1, @,  Chicago White Sox, 8,     Boxscore,
,San Diego Padres, 4, @,  Colorado Rockies, 8,     Boxscore,
, Detroit Tigers, 4, @,  Kansas City Royals, 3,     Boxscore,
,Chicago Cubs, 1, @,  Miami Marlins, 9,     Boxscore,
,Los Angeles Dodgers, 2, @,  Milwaukee Brewers, 3,     Boxscore,
, Minnesota Twins, 6, @,  New York Yankees, 5,     Boxscore,
,Cleveland Indians, 1, @,  Seattle Mariners, 4,     Boxscore,
,Philadelphia Phillies, 0, @,  San Francisco Giants, 1,     Boxscore,
,Cincinnati Reds, 1, @,  St. Louis Cardinals, 11,     Boxscore,
, Tampa Bay Rays, 12, @,  Toronto Blue Jays, 2,     Boxscore,
,Houston Astros, 2, @,  Washington Nationals, 3,     Boxscore,
, Oakland Athletics, 4, @,  LA Angels of Anaheim, 2,     Boxscore,
, Atlanta Braves, 10, @,  Arizona D'Backs, 2,     Boxscore,
, Baltimore Orioles, 5, @,  Chicago White Sox, 3,     Boxscore,
, Texas Rangers, 10, @,  Detroit Tigers, 3,     Boxscore,
,Chicago Cubs, 3, @,  Miami Marlins, 5,     Boxscore,
, Los Angeles Dodgers, 4, @,  Milwaukee Brewers, 3,     Boxscore,
,Minnesota Twins, 6, @,  New York Yankees, 7,     Boxscore,
, Philadelphia Phillies, 2, @,  San Diego Padres, 0,     Boxscore,
, Cleveland Indians, 2, @,  Seattle Mariners, 1,     Boxscore,
, Cincinnati Reds, 6, @,  St. Louis Cardinals, 3,     Boxscore,
, Tampa Bay Rays, 9, @,  Toronto Blue Jays, 4,     Boxscore,
, Houston Astros, 11, @,  Washington Nationals, 4,     Boxscore,
,Baltimore Orioles, 3, @,  LA Angels of Anaheim, 6,     Boxscore,
, Atlanta Braves, 9, @,  Arizona D'Backs, 1,     Boxscore,
, New York Yankees, 6, @,  Boston Red Sox, 2,     Boxscore,
, Cincinnati Reds, 9, @,  Chicago Cubs, 4,     Boxscore,
, Los Angeles Dodgers, 3, @,  Houston Astros, 1,     Boxscore,
, Toronto Blue Jays, 4, @,  Kansas City Royals, 3,     Boxscore,
, Colorado Rockies, 4, @,  Milwaukee Brewers, 3,     Boxscore,
, San Francisco Giants, 4, @,  New York Mets, 3,     Boxscore,
, Cleveland Indians, 4, @,  Oakland Athletics, 3,     Boxscore,
, St. Louis Cardinals, 4, @,  Pittsburgh Pirates, 1,     Boxscore,
, Philadelphia Phillies, 4, @,  San Diego Padres, 1,     Boxscore,
, Chicago White Sox, 7, @,  Seattle Mariners, 3,     Boxscore,
