,Arizona D'Backs, 3, @,  St. Louis Cardinals, 6,     Boxscore,
,Seattle Mariners, 6, @,  Anaheim Angels, 7,     Boxscore,
, Philadelphia Phillies, 4, @,  Atlanta Braves, 0,     Boxscore,
, Tampa Bay Devil Rays, 8, @,  Baltimore Orioles, 7,     Boxscore,
,Toronto Blue Jays, 2, @,  Boston Red Sox, 7,     Boxscore,
,Cleveland Indians, 3, @,  Chicago White Sox, 12,     Boxscore,
,San Diego Padres, 9, @,  Colorado Rockies, 10,     Boxscore,
,Detroit Tigers, 2, @,  Kansas City Royals, 9,     Boxscore,
, San Francisco Giants, 9, @,  Los Angeles Dodgers, 3,     Boxscore,
,Houston Astros, 2, @,  Milwaukee Brewers, 3,     Boxscore,
, New York Yankees, 4, @,  Minnesota Twins, 2,     Boxscore,
,Cincinnati Reds, 7, @,  Montreal Expos, 8,     Boxscore,
,Cincinnati Reds, 5, @,  Montreal Expos, 9,     Boxscore,
, Florida Marlins, 6, @,  New York Mets, 5,     Boxscore,
,Texas Rangers, 2, @,  Oakland Athletics, 12,     Boxscore,
, Chicago Cubs, 6, @,  Pittsburgh Pirates, 1,     Boxscore,
, Arizona D'Backs, 4, @,  St. Louis Cardinals, 3,     Boxscore,
, Seattle Mariners, 7, @,  Anaheim Angels, 6,     Boxscore,
,Philadelphia Phillies, 1, @,  Atlanta Braves, 8,     Boxscore,
,Tampa Bay Devil Rays, 1, @,  Baltimore Orioles, 4,     Boxscore,
,Toronto Blue Jays, 5, @,  Boston Red Sox, 6,     Boxscore,
, Cleveland Indians, 7, @,  Chicago White Sox, 4,     Boxscore,
,San Diego Padres, 0, @,  Colorado Rockies, 8,     Boxscore,
,Detroit Tigers, 3, @,  Kansas City Royals, 4,     Boxscore,
,San Francisco Giants, 4, @,  Los Angeles Dodgers, 16,     Boxscore,
,Houston Astros, 4, @,  Milwaukee Brewers, 5,     Boxscore,
, New York Yankees, 8, @,  Minnesota Twins, 2,     Boxscore,
, Cincinnati Reds, 7, @,  Montreal Expos, 5,     Boxscore,
,Florida Marlins, 4, @,  New York Mets, 7,     Boxscore,
, Texas Rangers, 2, @,  Oakland Athletics, 1,     Boxscore,
,Chicago Cubs, 2, @,  Pittsburgh Pirates, 8,     Boxscore,
, Arizona D'Backs, 1, @,  St. Louis Cardinals, 0,     Boxscore,
,Tampa Bay Devil Rays, 0, @,  Baltimore Orioles, 4,     Boxscore,
, Toronto Blue Jays, 11, @,  Boston Red Sox, 6,     Boxscore,
, Cleveland Indians, 9, @,  Chicago White Sox, 2,     Boxscore,
, New York Yankees, 15, @,  Minnesota Twins, 1,     Boxscore,
, New York Yankees, 8, @,  Anaheim Angels, 3,     Boxscore,
,St. Louis Cardinals, 3, @,  Atlanta Braves, 5,     Boxscore,
, Chicago White Sox, 3, @,  Baltimore Orioles, 1,     Boxscore,
,San Diego Padres, 2, @,  Chicago Cubs, 7,     Boxscore,
, Los Angeles Dodgers, 2, @,  Cincinnati Reds, 1,     Boxscore,
,Milwaukee Brewers, 2, @,  Florida Marlins, 4,     Boxscore,
