,Pittsburgh Pirates, 5, @,  Milwaukee Brewers, 7,     Boxscore,
,Cleveland Indians, 6, @,  New York Yankees, 8,     Boxscore,
,Arizona D'Backs, 6, @,  San Diego Padres, 11,     Boxscore,
, Minnesota Twins, 6, @,  Seattle Mariners, 5,     Boxscore,
,St. Louis Cardinals, 2, @,  San Francisco Giants, 6,     Boxscore,
, Boston Red Sox, 5, @,  Toronto Blue Jays, 3,     Boxscore,
, Philadelphia Phillies, 4, @,  Washington Nationals, 2,     Boxscore,
,Seattle Mariners, 4, @,  LA Angels of Anaheim, 8,     Boxscore,
,Toronto Blue Jays, 4, @,  Baltimore Orioles, 5,     Boxscore,
,New York Yankees, 6, @,  Boston Red Sox, 7,     Boxscore,
, St. Louis Cardinals, 2, @,  Chicago Cubs, 1,     Boxscore,
,Philadelphia Phillies, 1, @,  Cincinnati Reds, 2,     Boxscore,
, San Diego Padres, 11, @,  Colorado Rockies, 1,     Boxscore,
, Chicago White Sox, 5, @,  Detroit Tigers, 4,     Boxscore,
, Washington Nationals, 6, @,  Florida Marlins, 5,     Boxscore,
,Minnesota Twins, 7, @,  Kansas City Royals, 11,     Boxscore,
,Pittsburgh Pirates, 2, @,  Los Angeles Dodgers, 10,     Boxscore,
, Houston Astros, 6, @,  Milwaukee Brewers, 5,     Boxscore,
, Atlanta Braves, 7, @,  New York Mets, 3,     Boxscore,
,Arizona D'Backs, 2, @,  San Francisco Giants, 4,     Boxscore,
, Cleveland Indians, 4, @,  Tampa Bay Devil Rays, 3,     Boxscore,
, Oakland Athletics, 16, @,  Texas Rangers, 4,     Boxscore,
,Seattle Mariners, 6, @,  LA Angels of Anaheim, 7,     Boxscore,
,Toronto Blue Jays, 2, @,  Baltimore Orioles, 5,     Boxscore,
,New York Yankees, 5, @,  Boston Red Sox, 7,     Boxscore,
,St. Louis Cardinals, 0, @,  Chicago Cubs, 6,     Boxscore,
, Philadelphia Phillies, 4, @,  Cincinnati Reds, 1,     Boxscore,
, San Diego Padres, 7, @,  Colorado Rockies, 3,     Boxscore,
, Chicago White Sox, 7, @,  Detroit Tigers, 5,     Boxscore,
,Washington Nationals, 3, @,  Florida Marlins, 9,     Boxscore,
, Minnesota Twins, 7, @,  Kansas City Royals, 5,     Boxscore,
,Pittsburgh Pirates, 3, @,  Los Angeles Dodgers, 7,     Boxscore,
,Houston Astros, 4, @,  Milwaukee Brewers, 6,     Boxscore,
,Atlanta Braves, 2, @,  New York Mets, 7,     Boxscore,
,Arizona D'Backs, 0, @,  San Francisco Giants, 1,     Boxscore,
,Cleveland Indians, 5, @,  Tampa Bay Devil Rays, 6,     Boxscore,
,Oakland Athletics, 0, @,  Texas Rangers, 7,     Boxscore,
,Seattle Mariners, 1, @,  LA Angels of Anaheim, 6,     Boxscore,
,Toronto Blue Jays, 3, @,  Baltimore Orioles, 7,     Boxscore,
,New York Yankees, 6, @,  Boston Red Sox, 7,     Boxscore,
, St. Louis Cardinals, 12, @,  Chicago Cubs, 9,     Boxscore,
, Philadelphia Phillies, 9, @,  Cincinnati Reds, 3,     Boxscore,
,San Diego Padres, 2, @,  Colorado Rockies, 4,     Boxscore,
,Chicago White Sox, 5, @,  Detroit Tigers, 6,     Boxscore,
,Washington Nationals, 6, @,  Florida Marlins, 12,     Boxscore,
,Minnesota Twins, 1, @,  Kansas City Royals, 3,     Boxscore,
, Pittsburgh Pirates, 7, @,  Los Angeles Dodgers, 5,     Boxscore,
,Houston Astros, 3, @,  Milwaukee Brewers, 4,     Boxscore,
, Atlanta Braves, 9, @,  New York Mets, 6,     Boxscore,
,Arizona D'Backs, 1, @,  San Francisco Giants, 2,     Boxscore,
, Cleveland Indians, 6, @,  Tampa Bay Devil Rays, 4,     Boxscore,
,Oakland Athletics, 3, @,  Texas Rangers, 4,     Boxscore,
, Detroit Tigers, 9, @,  LA Angels of Anaheim, 5,     Boxscore,
, Oakland Athletics, 6, @,  Baltimore Orioles, 5,     Boxscore,
, Toronto Blue Jays, 7, @,  Boston Red Sox, 3,     Boxscore,
, Milwaukee Brewers, 5, @,  Chicago Cubs, 4,     Boxscore,
,Atlanta Braves, 7, @,  Florida Marlins, 8,     Boxscore,
, Chicago White Sox, 7, @,  Kansas City Royals, 4,     Boxscore,
, Cleveland Indians, 7, @,  Minnesota Twins, 3,     Boxscore,
,Colorado Rockies, 1, @,  New York Mets, 6,     Boxscore,
,Houston Astros, 4, @,  Philadelphia Phillies, 11,     Boxscore,
,New York Yankees, 8, @,  Tampa Bay Devil Rays, 10,     Boxscore,
, Seattle Mariners, 5, @,  Texas Rangers, 4,     Boxscore,
,Detroit Tigers, 8, @,  LA Angels of Anaheim, 9,     Boxscore,
, San Diego Padres, 10, @,  Arizona D'Backs, 5,     Boxscore,
, Oakland Athletics, 4, @,  Baltimore Orioles, 2,     Boxscore,
, Toronto Blue Jays, 10, @,  Boston Red Sox, 3,     Boxscore,
, Milwaukee Brewers, 4, @,  Chicago Cubs, 1,     Boxscore,
, Atlanta Braves, 11, @,  Florida Marlins, 6,     Boxscore,
, Chicago White Sox, 9, @,  Kansas City Royals, 7,     Boxscore,
, San Francisco Giants, 5, @,  Los Angeles Dodgers, 3,     Boxscore,
, Cleveland Indians, 5, @,  Minnesota Twins, 3,     Boxscore,
,Colorado Rockies, 1, @,  New York Mets, 2,     Boxscore,
,Washington Nationals, 3, @,  Philadelphia Phillies, 6,     Boxscore,
,Houston Astros, 0, @,  Pittsburgh Pirates, 3,     Boxscore,
, Cincinnati Reds, 10, @,  St. Louis Cardinals, 3,     Boxscore,
,New York Yankees, 4, @,  Tampa Bay Devil Rays, 6,     Boxscore,
,Tampa Bay Devil Rays, 1, @,  LA Angels of Anaheim, 9,     Boxscore,
,San Diego Padres, 2, @,  Arizona D'Backs, 3,     Boxscore,
, Boston Red Sox, 6, @,  Baltimore Orioles, 1,     Boxscore,
, Detroit Tigers, 6, @,  Chicago White Sox, 2,     Boxscore,
,Milwaukee Brewers, 3, @,  Chicago Cubs, 9,     Boxscore,
,Texas Rangers, 7, @,  Cleveland Indians, 8,     Boxscore,
,Atlanta Braves, 3, @,  Florida Marlins, 4,     Boxscore,
, San Francisco Giants, 6, @,  Los Angeles Dodgers, 4,     Boxscore,
, Kansas City Royals, 4, @,  Minnesota Twins, 3,     Boxscore,
, Colorado Rockies, 11, @,  New York Mets, 5,     Boxscore,
, Seattle Mariners, 2, @,  Oakland Athletics, 0,     Boxscore,
,Washington Nationals, 3, @,  Philadelphia Phillies, 9,     Boxscore,
,Houston Astros, 3, @,  Pittsburgh Pirates, 4,     Boxscore,
,Cincinnati Reds, 2, @,  St. Louis Cardinals, 5,     Boxscore,
,Tampa Bay Devil Rays, 3, @,  LA Angels of Anaheim, 11,     Boxscore,
,San Diego Padres, 4, @,  Arizona D'Backs, 7,     Boxscore,
, Boston Red Sox, 5, @,  Baltimore Orioles, 2,     Boxscore,
,Texas Rangers, 4, @,  Cleveland Indians, 9,     Boxscore,
, San Francisco Giants, 5, @,  Los Angeles Dodgers, 4,     Boxscore,
,Kansas City Royals, 0, @,  Minnesota Twins, 1,     Boxscore,
, Toronto Blue Jays, 6, @,  New York Yankees, 0,     Boxscore,
, Seattle Mariners, 4, @,  Oakland Athletics, 2,     Boxscore,
, Washington Nationals, 4, @,  Philadelphia Phillies, 2,     Boxscore,
,Houston Astros, 3, @,  Pittsburgh Pirates, 5,     Boxscore,
,Cincinnati Reds, 5, @,  St. Louis Cardinals, 7,     Boxscore,
,San Francisco Giants, 2, @,  Arizona D'Backs, 3,     Boxscore,
,LA Angels of Anaheim, 3, @,  Chicago White Sox, 7,     Boxscore,
,Baltimore Orioles, 4, @,  Cleveland Indians, 5,     Boxscore,
, Atlanta Braves, 9, @,  Colorado Rockies, 7,     Boxscore,
, Minnesota Twins, 5, @,  Detroit Tigers, 3,     Boxscore,
, Milwaukee Brewers, 4, @,  Houston Astros, 1,     Boxscore,
, Boston Red Sox, 11, @,  New York Yankees, 4,     Boxscore,
, Tampa Bay Devil Rays, 4, @,  Oakland Athletics, 1,     Boxscore,
,Florida Marlins, 5, @,  Philadelphia Phillies, 6,     Boxscore,
,Cincinnati Reds, 1, @,  Pittsburgh Pirates, 3,     Boxscore,
, Los Angeles Dodgers, 6, @,  San Diego Padres, 5,     Boxscore,
,Kansas City Royals, 4, @,  Seattle Mariners, 7,     Boxscore,
, Chicago Cubs, 5, @,  St. Louis Cardinals, 3,     Boxscore,
, Texas Rangers, 5, @,  Toronto Blue Jays, 3,     Boxscore,
,New York Mets, 3, @,  Washington Nationals, 4,     Boxscore,
,San Francisco Giants, 4, @,  Arizona D'Backs, 5,     Boxscore,
, LA Angels of Anaheim, 3, @,  Chicago White Sox, 0,     Boxscore,
, Baltimore Orioles, 7, @,  Cleveland Indians, 4,     Boxscore,
, Atlanta Braves, 6, @,  Colorado Rockies, 2,     Boxscore,
, Minnesota Twins, 11, @,  Detroit Tigers, 3,     Boxscore,
,Milwaukee Brewers, 1, @,  Houston Astros, 10,     Boxscore,
,Boston Red Sox, 1, @,  New York Yankees, 3,     Boxscore,
,Tampa Bay Devil Rays, 5, @,  Oakland Athletics, 12,     Boxscore,
, Florida Marlins, 11, @,  Philadelphia Phillies, 5,     Boxscore,
, Cincinnati Reds, 8, @,  Pittsburgh Pirates, 1,     Boxscore,
,Los Angeles Dodgers, 2, @,  San Diego Padres, 3,     Boxscore,
, Kansas City Royals, 8, @,  Seattle Mariners, 3,     Boxscore,
, Chicago Cubs, 8, @,  St. Louis Cardinals, 1,     Boxscore,
, Texas Rangers, 9, @,  Toronto Blue Jays, 8,     Boxscore,
, New York Mets, 6, @,  Washington Nationals, 2,     Boxscore,
,San Francisco Giants, 4, @,  Arizona D'Backs, 5,     Boxscore,
, LA Angels of Anaheim, 5, @,  Chicago White Sox, 2,     Boxscore,
,Baltimore Orioles, 1, @,  Cleveland Indians, 6,     Boxscore,
,Atlanta Braves, 7, @,  Colorado Rockies, 9,     Boxscore,
,Minnesota Twins, 3, @,  Detroit Tigers, 4,     Boxscore,
, Milwaukee Brewers, 3, @,  Houston Astros, 1,     Boxscore,
, Boston Red Sox, 7, @,  New York Yankees, 4,     Boxscore,
