,Montreal Expos, 0, @,  New York Mets, 4,     Boxscore,
, Colorado Rockies, 9, @,  San Diego Padres, 5,     Boxscore,
,Texas Rangers, 4, @,  Seattle Mariners, 6,     Boxscore,
,Los Angeles Dodgers, 2, @,  San Francisco Giants, 3,     Boxscore,
, Arizona D'Backs, 17, @,  St. Louis Cardinals, 4,     Boxscore,
, Boston Red Sox, 10, @,  Tampa Bay Devil Rays, 0,     Boxscore,
,New York Yankees, 5, @,  Toronto Blue Jays, 6,     Boxscore,
,Oakland Athletics, 2, @,  Anaheim Angels, 3,     Boxscore,
,Florida Marlins, 0, @,  Atlanta Braves, 1,     Boxscore,
, Cleveland Indians, 4, @,  Baltimore Orioles, 1,     Boxscore,
,Philadelphia Phillies, 3, @,  Chicago Cubs, 4,     Boxscore,
,Philadelphia Phillies, 3, @,  Chicago Cubs, 5,     Boxscore,
, Milwaukee Brewers, 7, @,  Cincinnati Reds, 4,     Boxscore,
, Chicago White Sox, 6, @,  Detroit Tigers, 4,     Boxscore,
,Kansas City Royals, 3, @,  Minnesota Twins, 5,     Boxscore,
, Montreal Expos, 7, @,  New York Mets, 1,     Boxscore,
,Houston Astros, 4, @,  Pittsburgh Pirates, 8,     Boxscore,
, Colorado Rockies, 8, @,  San Diego Padres, 0,     Boxscore,
, Texas Rangers, 8, @,  Seattle Mariners, 6,     Boxscore,
,Los Angeles Dodgers, 4, @,  San Francisco Giants, 5,     Boxscore,
,Arizona D'Backs, 1, @,  St. Louis Cardinals, 3,     Boxscore,
, Boston Red Sox, 9, @,  Tampa Bay Devil Rays, 1,     Boxscore,
,New York Yankees, 2, @,  Toronto Blue Jays, 7,     Boxscore,
, Cleveland Indians, 11, @,  Baltimore Orioles, 5,     Boxscore,
, Chicago White Sox, 3, @,  Detroit Tigers, 1,     Boxscore,
,Montreal Expos, 2, @,  Florida Marlins, 5,     Boxscore,
, Colorado Rockies, 4, @,  San Diego Padres, 0,     Boxscore,
,Anaheim Angels, 2, @,  Seattle Mariners, 3,     Boxscore,
, Los Angeles Dodgers, 10, @,  San Francisco Giants, 1,     Boxscore,
, Boston Red Sox, 8, @,  Tampa Bay Devil Rays, 3,     Boxscore,
, Oakland Athletics, 9, @,  Texas Rangers, 5,     Boxscore,
, New York Yankees, 6, @,  Toronto Blue Jays, 5,     Boxscore,
,Colorado Rockies, 2, @,  Arizona D'Backs, 3,     Boxscore,
, Minnesota Twins, 4, @,  Chicago White Sox, 1,     Boxscore,
,New York Mets, 5, @,  Cincinnati Reds, 9,     Boxscore,
,Detroit Tigers, 4, @,  Cleveland Indians, 5,     Boxscore,
,Montreal Expos, 1, @,  Florida Marlins, 5,     Boxscore,
,St. Louis Cardinals, 1, @,  Houston Astros, 10,     Boxscore,
, Toronto Blue Jays, 12, @,  Kansas City Royals, 4,     Boxscore,
,San Diego Padres, 1, @,  Los Angeles Dodgers, 3,     Boxscore,
,Boston Red Sox, 1, @,  New York Yankees, 6,     Boxscore,
,Atlanta Braves, 3, @,  Philadelphia Phillies, 8,     Boxscore,
, Chicago Cubs, 8, @,  Pittsburgh Pirates, 2,     Boxscore,
,Anaheim Angels, 1, @,  Seattle Mariners, 4,     Boxscore,
,Milwaukee Brewers, 1, @,  San Francisco Giants, 3,     Boxscore,
, Baltimore Orioles, 6, @,  Tampa Bay Devil Rays, 3,     Boxscore,
,Oakland Athletics, 6, @,  Texas Rangers, 9,     Boxscore,
,Colorado Rockies, 5, @,  Arizona D'Backs, 10,     Boxscore,
, Minnesota Twins, 4, @,  Chicago White Sox, 3,     Boxscore,
, New York Mets, 5, @,  Cincinnati Reds, 2,     Boxscore,
,Detroit Tigers, 4, @,  Cleveland Indians, 5,     Boxscore,
,Montreal Expos, 0, @,  Florida Marlins, 5,     Boxscore,
, St. Louis Cardinals, 9, @,  Houston Astros, 2,     Boxscore,
,Toronto Blue Jays, 4, @,  Kansas City Royals, 5,     Boxscore,
,San Diego Padres, 2, @,  Los Angeles Dodgers, 4,     Boxscore,
, Boston Red Sox, 8, @,  New York Yankees, 3,     Boxscore,
,Atlanta Braves, 1, @,  Philadelphia Phillies, 4,     Boxscore,
, Chicago Cubs, 4, @,  Pittsburgh Pirates, 3,     Boxscore,
,Anaheim Angels, 2, @,  Seattle Mariners, 5,     Boxscore,
, Milwaukee Brewers, 6, @,  San Francisco Giants, 3,     Boxscore,
,Baltimore Orioles, 5, @,  Tampa Bay Devil Rays, 6,     Boxscore,
, Oakland Athletics, 7, @,  Texas Rangers, 6,     Boxscore,
, Colorado Rockies, 2, @,  Arizona D'Backs, 1,     Boxscore,
, Minnesota Twins, 4, @,  Chicago White Sox, 2,     Boxscore,
, New York Mets, 5, @,  Cincinnati Reds, 1,     Boxscore,
,Detroit Tigers, 3, @,  Cleveland Indians, 11,     Boxscore,
, Montreal Expos, 6, @,  Florida Marlins, 2,     Boxscore,
