,Pittsburgh Pirates, 6, @,  Chicago Cubs, 13,     Boxscore,
,Milwaukee Brewers, 3, @,  Cincinnati Reds, 4,     Boxscore,
,Washington Nationals, 1, @,  Florida Marlins, 6,     Boxscore,
,Colorado Rockies, 4, @,  Houston Astros, 6,     Boxscore,
,Cleveland Indians, 1, @,  Minnesota Twins, 2,     Boxscore,
,Kansas City Royals, 1, @,  Oakland Athletics, 7,     Boxscore,
,New York Mets, 4, @,  Philadelphia Phillies, 5,     Boxscore,
, San Francisco Giants, 8, @,  St. Louis Cardinals, 2,     Boxscore,
, Chicago White Sox, 6, @,  Tampa Bay Rays, 0,     Boxscore,
,Detroit Tigers, 3, @,  Toronto Blue Jays, 5,     Boxscore,
,San Francisco Giants, 2, @,  Arizona D'Backs, 4,     Boxscore,
,Washington Nationals, 3, @,  Atlanta Braves, 7,     Boxscore,
,Texas Rangers, 3, @,  Boston Red Sox, 8,     Boxscore,
,New York Mets, 1, @,  Chicago Cubs, 7,     Boxscore,
, Los Angeles Dodgers, 9, @,  Cincinnati Reds, 3,     Boxscore,
, Philadelphia Phillies, 9, @,  Colorado Rockies, 5,     Boxscore,
,San Diego Padres, 3, @,  Houston Astros, 10,     Boxscore,
, St. Louis Cardinals, 4, @,  Milwaukee Brewers, 3,     Boxscore,
, Florida Marlins, 10, @,  Pittsburgh Pirates, 4,     Boxscore,
, Detroit Tigers, 5, @,  Toronto Blue Jays, 1,     Boxscore,
,San Francisco Giants, 4, @,  Arizona D'Backs, 5,     Boxscore,
, Washington Nationals, 6, @,  Atlanta Braves, 0,     Boxscore,
,LA Angels of Anaheim, 6, @,  Boston Red Sox, 7,     Boxscore,
, New York Yankees, 9, @,  Chicago White Sox, 5,     Boxscore,
,New York Mets, 1, @,  Chicago Cubs, 8,     Boxscore,
,Los Angeles Dodgers, 1, @,  Cincinnati Reds, 8,     Boxscore,
, Philadelphia Phillies, 8, @,  Colorado Rockies, 6,     Boxscore,
,Texas Rangers, 2, @,  Detroit Tigers, 10,     Boxscore,
,San Diego Padres, 7, @,  Houston Astros, 11,     Boxscore,
, Cleveland Indians, 15, @,  Kansas City Royals, 1,     Boxscore,
,St. Louis Cardinals, 8, @,  Milwaukee Brewers, 9,     Boxscore,
, Minnesota Twins, 5, @,  Oakland Athletics, 4,     Boxscore,
,Florida Marlins, 2, @,  Pittsburgh Pirates, 3,     Boxscore,
,Baltimore Orioles, 2, @,  Seattle Mariners, 4,     Boxscore,
,Toronto Blue Jays, 4, @,  Tampa Bay Rays, 6,     Boxscore,
, Florida Marlins, 7, @,  Atlanta Braves, 2,     Boxscore,
, LA Angels of Anaheim, 6, @,  Boston Red Sox, 4,     Boxscore,
, New York Yankees, 6, @,  Chicago White Sox, 4,     Boxscore,
, Houston Astros, 9, @,  Cincinnati Reds, 3,     Boxscore,
, Chicago Cubs, 7, @,  Colorado Rockies, 6,     Boxscore,
,Texas Rangers, 6, @,  Detroit Tigers, 19,     Boxscore,
,Arizona D'Backs, 3, @,  Los Angeles Dodgers, 8,     Boxscore,
,Philadelphia Phillies, 4, @,  Milwaukee Brewers, 5,     Boxscore,
,Minnesota Twins, 0, @,  Oakland Athletics, 3,     Boxscore,
,St. Louis Cardinals, 4, @,  Pittsburgh Pirates, 7,     Boxscore,
, San Francisco Giants, 3, @,  San Diego Padres, 2,     Boxscore,
, Baltimore Orioles, 3, @,  Seattle Mariners, 2,     Boxscore,
,Toronto Blue Jays, 3, @,  Tampa Bay Rays, 5,     Boxscore,
, New York Mets, 7, @,  Washington Nationals, 2,     Boxscore,
,Florida Marlins, 4, @,  Atlanta Braves, 7,     Boxscore,
, LA Angels of Anaheim, 7, @,  Boston Red Sox, 5,     Boxscore,
,New York Yankees, 6, @,  Chicago White Sox, 7,     Boxscore,
, Houston Astros, 5, @,  Cincinnati Reds, 3,     Boxscore,
,Chicago Cubs, 2, @,  Colorado Rockies, 4,     Boxscore,
,Texas Rangers, 2, @,  Detroit Tigers, 8,     Boxscore,
, Cleveland Indians, 9, @,  Kansas City Royals, 6,     Boxscore,
, Cleveland Indians, 2, @,  Kansas City Royals, 0,     Boxscore,
, Arizona D'Backs, 6, @,  Los Angeles Dodgers, 4,     Boxscore,
, Philadelphia Phillies, 3, @,  Milwaukee Brewers, 1,     Boxscore,
,Minnesota Twins, 2, @,  Oakland Athletics, 11,     Boxscore,
, St. Louis Cardinals, 6, @,  Pittsburgh Pirates, 2,     Boxscore,
, San Francisco Giants, 1, @,  San Diego Padres, 0,     Boxscore,
, Baltimore Orioles, 8, @,  Seattle Mariners, 7,     Boxscore,
,Toronto Blue Jays, 3, @,  Tampa Bay Rays, 5,     Boxscore,
,New York Mets, 5, @,  Washington Nationals, 10,     Boxscore,
,New York Yankees, 4, @,  Cleveland Indians, 6,     Boxscore,
, LA Angels of Anaheim, 4, @,  Detroit Tigers, 3,     Boxscore,
,Toronto Blue Jays, 4, @,  Kansas City Royals, 8,     Boxscore,
,Colorado Rockies, 7, @,  Los Angeles Dodgers, 8,     Boxscore,
, Florida Marlins, 3, @,  Milwaukee Brewers, 0,     Boxscore,
, Atlanta Braves, 6, @,  New York Mets, 3,     Boxscore,
, Philadelphia Phillies, 6, @,  Pittsburgh Pirates, 5,     Boxscore,
, Arizona D'Backs, 5, @,  San Diego Padres, 1,     Boxscore,
